user_id,username,sleep_hours,eating_habits,main_goal,mood_after_screen,daily_offline_time,onboarding_complete,created_date
4,khushiii,7-8 hours,Fairly regular,Better sleep quality,Slightly tired,30-60 minutes,True,2025-08-22
5,Khushi prajapatiiii,6-7 hours,Somewhat irregular,Improved focus & productivity,Energized & focused,2+ hours,True,2025-08-22
